Vim
Cdh1
Fn1
Zeb1
Cdh2
Mmp2
Snai2
Zeb2
Sparc
Snai1
Ccn2
Twist1
Cdh11
Cldn4
Epcam
Serpine1
Tgfb1
Col3a1
Esrp1
Inhba
Pmp22
Wnt5a
St14
Tnc
Cldn7
Emp3
Fstl1
Itga5
Lamc2
Vcan
Cdh3
Col5a2
Dcn
Dsp
Erbb3
Postn
Rab25
Spint2
Tgm2
Cds1
Col1a1
Esrp2
Grhl2
Htra1
Map7
Mmp9
Ocln
Pdgfrb
Prss8
Ap1m2
Ap1s2
Axl
Cd44
Col1a2
Col5a1
Fbn1
Fgfbp1
Fgfr1
Foxc2
Irf6
Krt5
Pcolce
S100a14
Cldn3
Col6a1
Col6a2
Fxyd3
Gng11
Grem1
Igfbp7
Itgb1
Krt19
Lox
Loxl2
Pdgfra
Ptx3
Serpine2
Slpi
Spock1
Tcf4
Tmem30b
Tpm1
Tspan1
Bmp1
C1orf116
Cald1
Cmtm3
Col4a1
Cxcl1
Cyp1b1
Ddr2
Dsc2
Ehf
Glipr1
Hook1
Igfbp4
Jup
Krt18
Lgals1
Mal2
Mpzl2
Mst1r
Nr2f1
Nrp1
Pkp3
S100a8
Sec31a
Spint1
Tagln
Thbs1
Ccl2
Cd24
Col6a3
Cybrd1
Ecm1
Egfr
F11r
Fap
Fbln1
Fbln5
Fermt2
Fgf2
Galnt3
Gas1
Gfpt2
Has2
Hmga2
Igfbp3
Lsr
Ltbp1
Map1b
Mff
Mmp1
Mmp3
Myo5c
Plat
Plaur
S100p
Srgn
Tgfbi
Tnfaip6
Tuba1a
Ackr3
Col4a2
Crb3
Ctnnd1
Cxadr
Dab2
Dpysl3
Dst
Elf3
Epb41l4b
Epn3
F3
Gadd45b
Grhl1
Il1rn
Jag1
Krt14
Krt15
Lad1
Lama3
Llgl2
Ltbp2
Mapk13
Marveld2
Marveld3
Misp
Mmp14
Mrc2
Muc1
Myl9
Myo5b
Nt5c2
Pmepa1
Prrx1
Rgs4
Scnn1a
Sfrp1
Sh2d3a
Sh3yl1
Srpx
Tgfb1i1
Tgfb2
Thy1
Tmprss4
Ablim1
Acta2
Adam12
Agr2
Akt3
Angptl2
Ank3
Arhgap8
Bspry
Ca2
Cavin1
Ccn1
Chn1
Ckmt1b
Cldn1
Cldn11
Col7a1
Cxcl12
Ddr1
Dlc1
Elmo3
Eml1
Epb41l5
Epha1
Fa2h
Fhl1
Id2
Ifit3
Igfbp5
Itga6
Itgb6
Jag2
Klk10
Lamb3
Lcn2
Lef1
Mlph
Mme
Myh14
Notch1
Nrep
Nt5e
Palld
Pkp2
Plek2
Plpp3
Pls1
Ppl
Prr15l
Pthlh
Pxn
Qsox1
Reck
Sdc2
Serpinb1
Stap2
Stc1
Tbx3
Tfpi2
Timp1
Tjp1
Tmc4
Tmc5
Uchl1
Vegfc
Wnt5b
Adam15
Adam19
Adgrf1
Adgrg1
Akap12
Akap13
Alpk2
Aox1
Arhgap17
Bicc1
Bik
Bmp7
Bnc2
C1s
Cd59
Celsr2
Cfh
Cgn
Ckmt1a
Ctsz
Dact1
Dkk1
Dkk3
Dsg2
Eppk1
Evi2a
Exph5
Fgfr2
Flna
Flrt2
Fst
Fstl3
Fzd7
Gem
Gjb3
Golt1a
Grb7
Gsc
Hs3st3a1
Ifi44
Ifit1
Igfbp2
Il4r
Irf7
Itgav
Itgb3
Jun
Kdf1
Klk5
Klk8
Krt16
Krt8
Lhfpl6
Lrrc1
Lum
Mapkap1
Mcam
Mras
Msrb3
Nectin4
Nexn
Nid1
Nid2
Ovol2
P3h1
P3h2
Pdgfc
Perp
Plod2
Pvr
Rbm47
Rftn1
Rhod
S100a4
Saa1
Sdc1
Serpinb5
Sfrp4
Shc1
Slc2a3
Slc6a8
Slit2
Slit3
Smad3
Smpdl3b
Sprr1b
Stat1
Sulf1
Syde1
Syk
Tacstd2
Tfpi
Tgfb3
Thbs2
Timp2
Timp3
Tjp3
Tmem125
Tmem158
Tmprss11e
Tpd52
Tpm2
Trim29
Vegfa
Wipf1
Wwc1
Zcchc24
Zfpm2
Abca12
Abi1
Acaa1
Actn1
Adam23
Adamts1
Adora2b
Aldh1a3
Aldh3a2
Alox5ap
Angptl4
Ankrd22
Antxr1
Anxa9
Aplp2
Aqp3
Areg
Atp2c2
Atp8b1
B3gnt3
Bdnf
Bgn
Bin1
Bpgm
C1orf210
Calb2
Cap2
Cask
Cblc
Ccnd2
Cd46
Cd68
Cdh12
Cdh13
Cdkn2c
Ceacam6
Chst11
Coa1
Col12a1
Col13a1
Col16a1
Col17a1
Col8a1
Crlf1
Dennd2d
Dse
Edil3
Edn1
Efemp2
Elf5
Elk3
Enah
Enpp2
Ephb2
Eps8l1
Eps8l2
Erbb2
Evpl
Fbln2
Fgfr3
Fmnl2
Foxa2
Foxc1
Gadd45a
Galnt10
Gja1
Gnb4
Golga2
Gpc6
Grtp1
Heg1
Hmox1
Hrh1
Id4
Ifi30
Ifitm3
Igf1
Igf1r
Il18
Inpp4b
Isg15
Itga2
Itga3
Itgb4
Itgb5
Jam3
